2025-01-14 18:51:16,852 - INFO - Starting run 1
2025-01-14 18:51:17,011 - INFO - Using device: cuda
2025-01-14 18:51:21,540 - INFO - Run 1, Epoch 1/50, Train Loss: 0.0768
2025-01-14 18:51:24,016 - INFO - Run 1, Epoch 2/50, Train Loss: 0.0265
2025-01-14 18:51:26,568 - INFO - Run 1, Epoch 3/50, Train Loss: 0.0210
2025-01-14 18:51:29,161 - INFO - Run 1, Epoch 4/50, Train Loss: 0.0187
2025-01-14 18:51:31,817 - INFO - Run 1, Epoch 5/50, Train Loss: 0.0175
2025-01-14 18:51:34,548 - INFO - Run 1, Epoch 6/50, Train Loss: 0.0182
2025-01-14 18:51:37,122 - INFO - Run 1, Epoch 7/50, Train Loss: 0.0167
2025-01-14 18:51:39,725 - INFO - Run 1, Epoch 8/50, Train Loss: 0.0156
2025-01-14 18:51:42,315 - INFO - Run 1, Epoch 9/50, Train Loss: 0.0150
2025-01-14 18:51:44,869 - INFO - Run 1, Epoch 10/50, Train Loss: 0.0145
2025-01-14 18:51:47,453 - INFO - Run 1, Epoch 11/50, Train Loss: 0.0142
2025-01-14 18:51:50,043 - INFO - Run 1, Epoch 12/50, Train Loss: 0.0137
2025-01-14 18:51:52,596 - INFO - Run 1, Epoch 13/50, Train Loss: 0.0135
2025-01-14 18:51:55,140 - INFO - Run 1, Epoch 14/50, Train Loss: 0.0132
2025-01-14 18:51:57,735 - INFO - Run 1, Epoch 15/50, Train Loss: 0.0128
2025-01-14 18:52:00,327 - INFO - Run 1, Epoch 16/50, Train Loss: 0.0125
2025-01-14 18:52:02,876 - INFO - Run 1, Epoch 17/50, Train Loss: 0.0123
2025-01-14 18:52:05,647 - INFO - Run 1, Epoch 18/50, Train Loss: 0.0121
2025-01-14 18:52:08,208 - INFO - Run 1, Epoch 19/50, Train Loss: 0.0119
2025-01-14 18:52:10,776 - INFO - Run 1, Epoch 20/50, Train Loss: 0.0116
2025-01-14 18:52:13,309 - INFO - Run 1, Epoch 21/50, Train Loss: 0.0116
2025-01-14 18:52:15,862 - INFO - Run 1, Epoch 22/50, Train Loss: 0.0114
2025-01-14 18:52:18,427 - INFO - Run 1, Epoch 23/50, Train Loss: 0.0113
2025-01-14 18:52:21,103 - INFO - Run 1, Epoch 24/50, Train Loss: 0.0112
2025-01-14 18:52:23,761 - INFO - Run 1, Epoch 25/50, Train Loss: 0.0112
2025-01-14 18:52:26,373 - INFO - Run 1, Epoch 26/50, Train Loss: 0.0110
2025-01-14 18:52:28,991 - INFO - Run 1, Epoch 27/50, Train Loss: 0.0111
2025-01-14 18:52:31,602 - INFO - Run 1, Epoch 28/50, Train Loss: 0.0110
2025-01-14 18:52:34,177 - INFO - Run 1, Epoch 29/50, Train Loss: 0.0109
2025-01-14 18:52:36,723 - INFO - Run 1, Epoch 30/50, Train Loss: 0.0108
2025-01-14 18:52:39,472 - INFO - Run 1, Epoch 31/50, Train Loss: 0.0107
